loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,prediksi
4,246.948,312.94,29246266.726537865,1874877978.4276395,3.515167433992912e+18,-0.0541711319247832,-0.1943327375469787,3.515167433992912e+18,0.3964937683853345,2.434508279937016,0,0,0,0,0,-29246266.72653785,1874877978.4276395,3.5151674339929124e+18,0.0541711319247831,-0.1943327375469796,3.5151674339929124e+18,0.3964937683853345,2.4345082799370155,0,0,0,0,0,kanan
5,312.944,313.94,-109042659.5537872,1822864726.973808,3.322835812845295e+18,0.2330133611259567,-0.1436952863881351,3.322835812845295e+18,0.3473182198808703,1.307985093541391,0,0,0,0,0,109042659.5537872,1822864726.973808,3.322835812845296e+18,-0.2330133611259566,-0.1436952863881355,3.322835812845296e+18,0.3473182198808703,1.307985093541391,0,0,0,0,0,kanan
5,313.944,314.94,27894652.945825577,1620231992.7963698,2.625151710480896e+18,0.4756407631703422,-0.2767499043635979,2.625151710480896e+18,0.36583472866884,1.214045307737902,0,0,0,0,0,-27894652.94582556,1620231992.7963698,2.6251517104808955e+18,-0.4756407631703425,-0.276749904363597,2.6251517104808955e+18,0.3658347286688401,1.214045307737902,0,0,0,0,0,kanan
5,314.944,315.94,152716945.95434517,1678989408.8509493,2.81900543503366e+18,0.7719540944624756,0.6745535178862823,2.81900543503366e+18,0.3308826209136724,1.3218868804748662,0,0,0,0,0,-152716945.95434517,1678989408.8509493,2.81900543503366e+18,-0.7719540944624756,0.6745535178862823,2.81900543503366e+18,0.3308826209136724,1.3218868804748662,0,0,0,0,0,kanan
5,315.944,316.94,-111561358.90899728,1797598071.39017,3.231358826265658e+18,0.1552011699648819,0.3872935862837359,3.231358826265658e+18,0.3550078247547081,1.2684225073192206,0,0,0,0,0,111561358.90899724,1797598071.39017,3.231358826265658e+18,-0.1552011699648818,0.3872935862837359,3.231358826265658e+18,0.3550078247547081,1.2684225073192206,0,0,0,0,0,kanan
5,316.944,317.94,82903575.951195,1709030138.5398932,2.9207840144376863e+18,0.4853210617308731,-0.1996178931290009,2.9207840144376863e+18,0.2725365904874694,1.503862772408468,0,0,0,0,0,-82903575.951195,1709030138.5398932,2.9207840144376863e+18,-0.485321061730873,-0.1996178931290009,2.9207840144376863e+18,0.2725365904874694,1.5038627724084683,0,0,0,0,0,kanan
5,317.944,318.94,112402424.90370394,2199980747.6050606,4.839915289832921e+18,0.6749539591739985,1.9153852246497376,4.839915289832921e+18,0.3306971821617143,1.2716509863460737,0,0,0,0,0,-112402424.90370396,2199980747.6050606,4.839915289832921e+18,-0.6749539591739984,1.9153852246497385,4.839915289832921e+18,0.3306971821617143,1.2716509863460737,0,0,0,0,0,kanan
5,318.944,24.94,-78904035.4074285,1470491232.341424,2.162344464393e+18,-0.5922479737483602,0.7589465769428574,2.162344464393e+18,0.2849660539752131,1.5953740823160762,0,0,0,0,0,78904035.40742849,1470491232.341424,2.162344464393e+18,0.5922479737483606,0.7589465769428574,2.162344464393e+18,0.2849660539752131,1.5953740823160765,0,0,0,0,0,kanan
1,24.944,25.94,42314187.7067247,1111005283.254238,1.23433273941883e+18,-0.778908021863695,0.1740736001267611,1.23433273941883e+18,0.3045566320921226,1.3643651386693345,0,0,0,0,0,-42314187.7067247,1111005283.254238,1.23433273941883e+18,0.778908021863695,0.1740736001267619,1.23433273941883e+18,0.3045566320921226,1.364365138669334,0,0,0,0,0,kanan
1,25.944,26.94,-166024154.82251027,1625740707.261618,2.6430328472475064e+18,-0.1972960486347597,-0.5024178647314117,2.6430328472475064e+18,0.2880408396844652,1.362658965018058,0,0,0,0,0,166024154.82251027,1625740707.2616184,2.643032847247507e+18,0.1972960486347596,-0.502417864731413,2.643032847247507e+18,0.2880408396844652,1.362658965018058,0,0,0,0,0,kanan
1,26.944,27.94,107337125.08488125,1568953178.3644483,2.461614075899905e+18,-0.5211293716513102,-0.1751331212965432,2.461614075899905e+18,0.3132279906579808,1.3010156369965726,0,0,0,0,0,-107337125.08488126,1568953178.3644483,2.4616140758999045e+18,0.5211293716513102,-0.1751331212965423,2.4616140758999045e+18,0.3132279906579808,1.3010156369965726,0,0,0,0,0,kanan
1,27.944,28.94,18081550.17612177,1569081557.2065268,2.462016933165659e+18,-0.6334189315940942,-0.4667358114898636,2.462016933165659e+18,0.344897851910585,1.1880050984692294,0,0,0,0,0,-18081550.176121764,1569081557.2065268,2.462016933165659e+18,0.633418931594094,-0.4667358114898641,2.462016933165659e+18,0.344897851910585,1.1880050984692294,0,0,0,0,0,kanan
1,28.944,29.94,-168334703.4497416,1381702950.4110155,1.909103043174506e+18,-0.6250224327727859,-0.6272737916828017,1.909103043174506e+18,0.2391954197425691,1.5387852266650008,0,0,0,0,0,168334703.44974157,1381702950.4110155,1.909103043174506e+18,0.6250224327727861,-0.6272737916828008,1.909103043174506e+18,0.2391954197425691,1.5387852266650008,0,0,0,0,0,kanan
1,29.944,30.94,330956398.81238604,947805961.107526,8.983361399109613e+17,-0.9830405784576888,0.9451755059625312,8.983361399109613e+17,0.363319102391434,1.200881254096781,0,0,0,0,0,-330956398.81238604,947805961.1075262,8.983361399109614e+17,0.9830405784576884,0.9451755059625307,8.983361399109614e+17,0.363319102391434,1.2008812540967813,0,0,0,0,0,kanan
