EXG0,EXG1,subject,loop,time
1091885709.357635,-1091885709.357635,syarif,5,292.252
2518984566.7156324,-2518984566.7156324,syarif,5,292.256
3587651505.066377,-3587651505.0663767,syarif,5,292.26
4141807191.741022,-4141807191.7410226,syarif,5,292.264
4109772977.077265,-4109772977.0772653,syarif,5,292.268
3509469291.7466364,-3509469291.7466364,syarif,5,292.272
2448337072.817394,-2448337072.817394,syarif,5,292.276
1100820303.4028718,-1100820303.4028718,syarif,5,292.28
-325354799.33608663,325354799.33608663,syarif,5,292.284
-1619195832.257148,1619195832.257148,syarif,5,292.288
-2607217919.146195,2607217919.1461945,syarif,5,292.292
-3176149809.225342,3176149809.225342,syarif,5,292.296
-3296153043.6085844,3296153043.6085844,syarif,5,292.3
-3009678060.736482,3009678060.7364817,syarif,5,292.304
-2427680993.2347727,2427680993.2347727,syarif,5,292.308
-1695285079.3467913,1695285079.3467913,syarif,5,292.312
-966570239.46057,966570239.46057,syarif,5,292.316
-369449911.9507341,369449911.95073414,syarif,5,292.32
15028517.222470641,-15028517.222470641,syarif,5,292.324
161347997.31291413,-161347997.312914,syarif,5,292.328
106942351.39340663,-106942351.39340639,syarif,5,292.332
-75887055.32867551,75887055.32867551,syarif,5,292.336
-298751371.3914063,298751371.39140606,syarif,5,292.34
-483825045.56269574,483825045.5626955,syarif,5,292.344
-577030542.7528236,577030542.7528235,syarif,5,292.348
-556099771.3883312,556099771.3883312,syarif,5,292.352
-434024671.36038876,434024671.36038876,syarif,5,292.356
-245180236.5854159,245180236.5854159,syarif,5,292.36
-30034357.41485828,30034357.41485828,syarif,5,292.364
178590833.09384984,-178590833.0938499,syarif,5,292.368
363202169.8103745,-363202169.8103745,syarif,5,292.372
526061296.77469313,-526061296.774693,syarif,5,292.376
679815820.5656041,-679815820.565604,syarif,5,292.38
833910382.0134856,-833910382.0134856,syarif,5,292.384
996182607.3059499,-996182607.3059499,syarif,5,292.388
1157675337.984044,-1157675337.984044,syarif,5,292.392
1292837188.2054377,-1292837188.2054377,syarif,5,292.396
1371553160.4263692,-1371553160.4263692,syarif,5,292.4
1368409591.8046978,-1368409591.8046978,syarif,5,292.404
1274149090.13887,-1274149090.13887,syarif,5,292.408
1093927123.150361,-1093927123.150361,syarif,5,292.412
859001228.2184913,-859001228.2184913,syarif,5,292.416
606843990.9263251,-606843990.9263251,syarif,5,292.42
366411332.84707373,-366411332.8470738,syarif,5,292.424
151135697.16055351,-151135697.16055351,syarif,5,292.428
-51757661.54536614,51757661.54536614,syarif,5,292.432
-285115658.0118564,285115658.0118564,syarif,5,292.436
-600006863.5237602,600006863.5237602,syarif,5,292.44
-1038017612.1749783,1038017612.1749783,syarif,5,292.444
-1609651705.2948146,1609651705.2948146,syarif,5,292.448
-2278377198.6544504,2278377198.6544504,syarif,5,292.452
-2956203906.100943,2956203906.1009436,syarif,5,292.456
-3521103138.419792,3521103138.419792,syarif,5,292.46
-3841236687.5087414,3841236687.5087414,syarif,5,292.464
-3809994331.5785675,3809994331.578567,syarif,5,292.468
-3384797956.891673,3384797956.8916736,syarif,5,292.472
-2605836061.165351,2605836061.165351,syarif,5,292.476
-1599725864.2452493,1599725864.2452493,syarif,5,292.48
-557785120.5665092,557785120.5665092,syarif,5,292.484
303424570.33939564,-303424570.33939564,syarif,5,292.488
790922253.4665835,-790922253.4665834,syarif,5,292.492
784878332.0600736,-784878332.0600737,syarif,5,292.496
283242097.2940105,-283242097.29401064,syarif,5,292.5
-601778247.8679328,601778247.8679326,syarif,5,292.504
-1667372936.0083194,1667372936.0083196,syarif,5,292.508
-2641680476.977684,2641680476.9776845,syarif,5,292.512
-3270017097.299846,3270017097.299846,syarif,5,292.516
-3362896423.4983044,3362896423.4983044,syarif,5,292.52
-2852353685.705835,2852353685.7058344,syarif,5,292.524
-1806299791.9973693,1806299791.9973695,syarif,5,292.528
-418276158.5049627,418276158.5049626,syarif,5,292.532
1036241533.2204223,-1036241533.2204223,syarif,5,292.536
2256979889.336501,-2256979889.3365006,syarif,5,292.54
3000967086.669619,-3000967086.6696186,syarif,5,292.544
3123234700.0846457,-3123234700.084646,syarif,5,292.548
2619465745.2847247,-2619465745.2847247,syarif,5,292.552
1618640328.1630487,-1618640328.1630487,syarif,5,292.556
358118919.94903135,-358118919.9490316,syarif,5,292.56
-883230163.4330797,883230163.4330796,syarif,5,292.564
-1829518340.0470834,1829518340.0470834,syarif,5,292.568
-2278295955.554369,2278295955.554369,syarif,5,292.572
-2148854462.435012,2148854462.435012,syarif,5,292.576
-1482787139.6397998,1482787139.6397998,syarif,5,292.58
-440756515.2737959,440756515.27379584,syarif,5,292.584
748835969.1763037,-748835969.1763036,syarif,5,292.588
1834979773.4778419,-1834979773.477842,syarif,5,292.592
2600121069.19298,-2600121069.1929803,syarif,5,292.596
2901958498.696821,-2901958498.696821,syarif,5,292.6
2700825873.714713,-2700825873.714713,syarif,5,292.604
