corr_landing,corr_terbang,corr_kanan,corr_kiri,corr_depan,corr_belakang,theta_ch0,alpha_ch0,beta_ch0,theta_ch1,alpha_ch1,beta_ch1,subject,loop,command
0.12642805404578897,0.18017074744617512,0.0685283251310438,0.06779807514914078,0.16164393963555168,0.012679874892482942,2.518797307616955e+17,4.497975344223257e+17,1.2353674121933916e+18,2.5187973077969418e+17,4.497975344252006e+17,1.2353674121926628e+18,syarif,2,terbang
0.10581290859000121,0.06181372234078848,0.11105649952052919,0.10519025722389898,0.20858299069517644,0.010842841376592083,3.006545774868242e+17,6.100807268456056e+17,1.198475663294946e+18,3.0065457748596794e+17,6.100807268436792e+17,1.1984756632951396e+18,syarif,3,terbang
0.11983825116073117,0.04913153940471619,0.06939251286490761,0.04183904044825231,0.04919295850049298,0.039693053543447175,3.002292170761284e+17,5.290613792675041e+17,1.2970941556959073e+18,3.0022921708023226e+17,5.290613792700501e+17,1.2970941556964585e+18,syarif,4,terbang
0.11386941428846249,0.11857244010934744,0.06009112834373281,0.13063329208471433,0.07153899889931209,0.02390177045196634,3.556452297192539e+17,1.0985312595450748e+18,1.5226333969196442e+18,3.556452297195414e+17,1.0985312595528783e+18,1.522633396919924e+18,syarif,5,terbang
0.19568597292785805,0.055424850397067835,0.1118135460250184,0.12106398235445312,0.09439761071635865,0.10285177284225945,6.785159364463204e+17,7.573124488559204e+17,2.375711777870614e+18,6.785159364331777e+17,7.573124488556716e+17,2.375711777871085e+18,usamah,1,terbang
0.12087293231533898,0.027909647368248497,0.14904499255582196,0.1644996479808049,0.11984735120926243,0.04733797271637279,4.4640463596770976e+17,9.248980812659428e+17,1.9014288424588849e+18,4.464046359685628e+17,9.248980812635868e+17,1.901428842458971e+18,usamah,2,terbang
0.12437279837836318,0.06850024502786553,0.13619196572599201,0.07196584937854968,0.054898080833702664,0.13666793928754395,4.6826792343625734e+17,8.579109632996785e+17,1.8898958043812086e+18,4.68267923434772e+17,8.57910963301199e+17,1.8898958043809329e+18,usamah,3,terbang
0.10339387584274162,0.11119904096325663,0.10701720267422897,0.14407652678404312,0.08169734829140053,0.09513234521794858,2.9660469419709235e+17,6.803107707397908e+17,1.6116181967841024e+18,2.966046941927868e+17,6.803107707343018e+17,1.6116181967838876e+18,usamah,4,terbang
0.06448482523455161,0.102794618196848,0.10807439544578396,0.1508009035079796,0.08342071661658838,0.1924938884125772,6.32488537234358e+17,7.099698238522281e+17,1.7032765574675948e+18,6.32488537196753e+17,7.099698238575867e+17,1.703276557468465e+18,usamah,5,terbang
0.06703035723700915,0.11700499377023064,0.1593941199906987,0.10187633304978003,0.07453908328838857,0.02206021157687396,532263222880.1317,855963004776.6694,767222897234.3314,532263222880.88464,855963004776.5859,767222897233.9463,fahri,1,kanan
