Delta_15.5Hz,Delta_13.5Hz,Delta_11.5Hz,Delta_9.5Hz,Delta_5.5Hz,Delta_7.5Hz,Theta_15.5Hz,Theta_13.5Hz,Theta_11.5Hz,Theta_9.5Hz,Theta_5.5Hz,Theta_7.5Hz,Alpha_15.5Hz,Alpha_13.5Hz,Alpha_11.5Hz,Alpha_9.5Hz,Alpha_5.5Hz,Alpha_7.5Hz,Beta_15.5Hz,Beta_13.5Hz,Beta_11.5Hz,Beta_9.5Hz,Beta_5.5Hz,Beta_7.5Hz,Gamma_15.5Hz,Gamma_13.5Hz,Gamma_11.5Hz,Gamma_9.5Hz,Gamma_5.5Hz,Gamma_7.5Hz,label
7.683790351209474e-07,9.086205016162197e-07,1.1172310988571965e-06,1.479361744383123e-06,4.470323972166623e-05,2.1791581848451536e-06,-0.9973502658853062,-0.9965839641766324,-0.9952895706324729,-0.9960370531485896,-0.3183748639651429,-0.9492596318189406,-0.9978565399092746,-0.9951236868855428,-0.9458439590815907,-0.6253974192127254,-0.994173084807257,-0.9934894300188596,-0.8151715349549272,-0.8524795097930985,-0.9839172879931399,-0.9926455080680121,-0.9982045001018286,-0.9983424902786665,-0.9965602907620185,-0.9967979468474338,-0.9969773633691449,-0.9971130407447373,-0.9972866628749824,-0.9972141105862666,5.5
7.660651045182654e-07,8.892980064567624e-07,1.0544827591663086e-06,1.2852621187886548e-06,1.3032327099149477e-06,1.4796044156550892e-06,1.4784473645335083e-10,1.725953824305293e-10,2.1550677908876992e-10,5.709858696967274e-10,4.733632985587377e-09,9.041406595633461e-08,1.4719725438538944e-11,3.7960468102227196e-11,1.2668882609645493e-09,2.1339986444601777e-09,1.3580570001892056e-10,3.5316288782283323e-10,-0.8230363070744904,-0.9150120503461163,-0.9500356998669115,-0.9918360023927641,-0.997532437045612,-0.9969071093636542,-0.9961774437579255,-0.9964001956541515,-0.9965711086783865,-0.996701706153677,-0.996870766129317,-0.9967998455761553,7.5
-0.9980181601791827,-0.9976744226474129,-0.9971757772073464,-0.9963742367244682,-0.9950864402687402,-0.9951627567836565,-0.9993260490953274,-0.9991230171306459,-0.9986446076008691,-0.994220537665803,-0.8742600177973712,-0.7818478074711308,-0.9986237997584176,-0.9932860038986521,-0.8443626097023011,-0.8960404657250103,-0.9973406446130619,-0.9616275598164765,-0.6878584166014388,-0.9034768892533382,-0.9806182208154659,-0.9897382111514851,-0.9951077437091982,-0.9939744193136328,-0.9995554759433565,-0.999609278944304,-0.9996526325845491,-0.9996874812330804,-0.9997356245633581,-0.9997149787293884,15.5
1.4272186550368104e-06,1.6523827806591562e-06,1.96061176122031e-06,2.3745997348445513e-06,9.835413588510367e-06,2.9655549180773733e-06,6.983101319413265e-10,7.807499091683212e-10,8.489713376746977e-10,4.236868300644403e-09,3.3191407733390577e-08,2.004231336449891e-08,-0.9933348785678529,-0.9818365621351633,-0.7273425105808334,-0.7129986211454171,-0.990083879754334,-0.9755808258239391,-0.9617872483389279,-0.7939588610097222,-0.9368683205560909,-0.9971299347937799,-0.9977175874447638,-0.9976727567738986,-0.9971872456697884,-0.9973610740124442,-0.9974953675880838,-0.9975985075692303,-0.9977325382607186,-0.9976762633884928,13.5
3.2780655147557347e-06,3.9987211865599726e-06,5.109446542972407e-06,7.072483536374463e-06,4.299183706291121e-05,1.1373987966523114e-05,3.701865480820743e-10,4.562925037809862e-10,7.24246107530746e-10,5.019539228712233e-10,3.7596108060089506e-08,2.3745886423842677e-08,2.7632734989069263e-10,2.716316060968893e-11,9.825152358367006e-10,7.420751790832014e-10,7.832967607868113e-11,2.6880020431718776e-10,-0.8282177334158238,-0.9002705373722801,-0.958208244948696,-0.9971705758299878,-0.999732386723784,-0.9986195031174601,-0.9993003159066008,-0.9993896311137024,-0.9994597152832957,-0.9995150128854956,-0.9995898581896117,-0.9995579118180332,11.5
-0.9998494586727732,-0.9998223622686074,-0.9997938464994219,-0.9997517226883469,-0.9947094619316811,-0.9995545089405009,-0.99569508012371,-0.9939152713292158,-0.9907146731713697,-0.9701371528133311,-0.835389324236612,-0.8227437047856724,2.629907402962317e-11,3.840017193112999e-11,3.3736156090924396e-09,9.409660051140634e-09,8.203265844386465e-11,7.593004558437144e-10,-0.8344440816385379,-0.934157021849318,-0.9424357584168076,-0.9901498163715743,-0.9966506258493223,-0.9969725905782003,-0.9922974506073103,-0.9928148289258357,-0.9932086056687236,-0.9935079217768749,-0.9938931753978768,-0.9937318906394482,9.5
3.159186819923221e-07,3.6539153297487914e-07,4.3200319249647734e-07,5.304176624032486e-07,1.0340972689815153e-06,6.914261067580973e-07,2.419459632641008e-10,3.852633767564839e-10,9.044561211091207e-10,1.2925804870889124e-09,5.752292986382912e-08,2.0836651293265618e-08,1.077463673837542e-10,1.5097140204645143e-10,1.5245649187534127e-09,1.0072470080224605e-09,8.558131980862527e-11,2.787339803411726e-10,-0.8410940835550366,-0.9017597727071867,-0.958703317887498,-0.9889650939093207,-0.9957157288027215,-0.9946388905598184,-0.9979400866290937,-0.9980664282522511,-0.9981634351649621,-0.9982377007034401,-0.9983339318404693,-0.9982935545232627,5.5
1.089267535447913e-06,1.2525651181261033e-06,1.4718878206254615e-06,1.786417738958157e-06,4.288302347943418e-06,2.337356416137748e-06,6.583886213995527e-10,9.213084739556621e-10,3.7548847364732296e-10,1.800572468901862e-10,1.977853553158937e-08,1.5783823731352342e-07,2.3456292463919226e-11,2.9807595280928467e-10,7.312909500178932e-09,6.317913969766664e-10,6.20279938523538e-11,2.7432078830713635e-10,-0.8661208101043183,-0.7366291772292708,-0.886109151277133,-0.9969047445800117,-0.998255853251858,-0.997559864373285,-0.9963358413751117,-0.9965272939174753,-0.996676212387306,-0.9967913534706366,-0.9969419628251903,-0.9968785640998868,7.5
-0.9989161159844229,-0.9985568759667949,-0.9979742838002732,-0.9968759788851344,-0.9837519844297493,-0.9944732785174315,-0.9986570719594384,-0.9982659845300085,-0.9978163286370145,-0.988195406817594,-0.8785605935906422,-0.7869972258357001,4.491113037019545e-11,2.4289015243539325e-11,8.026357911639082e-09,2.5456551311364706e-09,1.1012285527911558e-10,2.9658081546202197e-10,-0.918509253657896,-0.9148182615514459,-0.9401431665498844,-0.9900832622162166,-0.9954280638715635,-0.9951141549911385,-0.9993962671426878,-0.9994283006226141,-0.9994555104208019,-0.9994777923471715,-0.9995084499864425,-0.999495355769401,15.5
-0.9979939447735552,-0.9976230888625511,-0.9970775239809776,-0.9962040966275008,-0.9877799450137049,-0.9943698920087229,-0.9986326637882744,-0.9984579315150899,-0.9982681252953578,-0.9952692937881582,-0.9137846168396128,-0.9258345438962658,-0.9942703322019674,-0.9713791632054579,-0.7256291632567863,-0.8301066065835077,-0.9876279951540776,-0.9698457589473527,-0.9814162051191049,-0.5766359786350054,-0.9539720134579858,-0.9945051322093578,-0.9966460121773705,-0.9954256520049182,-0.9995101100691947,-0.9996011687090836,-0.9996783903925475,-0.9997458483851133,-0.9998618268523142,-0.9998063612772872,13.5
