subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,label
fahri,5,338.984,339.98,-732803.331067849,2254917.46635911,5084652780091.389,-0.1873246836129163,-0.9824651628939387,5084652780091.389,0.16490806946820966,2.0663548264391935,526355573511.7282,178504986333.29233,229610762978.10864,44395210622.3875,4168.645631758776,732803.3310678487,2254917.4663591105,5084652780091.39,0.1873246836129164,-0.9824651628939387,5084652780091.39,0.16490806946820963,2.0663548264391944,526355573511.7283,178504986333.29227,229610762978.1085,44395210622.38748,4168.645631756413,terbang
fahri,5,339.984,340.98,2910253.217064594,3397232.948111321,11541191703733.137,-0.26124069161251984,-0.8546156283877151,11541191703733.137,0.11627112903997154,2.868977058192007,1059740105963.7213,166020839194.43872,109245177665.8391,36560052572.423676,8796.264776913535,-2910253.2170645944,3397232.9481113204,11541191703733.133,0.2612406916125206,-0.8546156283877138,11541191703733.133,0.11627112903997157,2.8689770581920073,1059740105963.7202,166020839194.43866,109245177665.83905,36560052572.42367,8796.264776924405,terbang
fahri,5,340.984,341.98,1451485.0785055761,2317528.2550310185,5370937212867.117,0.5131444713326592,-0.14643185145014304,5370937212867.117,0.19903604849763343,1.8069333106877317,710837513066.9825,177957004936.11145,389516783003.42834,50232428241.86589,7078.658518600494,-1451485.0785055761,2317528.2550310185,5370937212867.118,-0.5131444713326591,-0.14643185145014304,5370937212867.118,0.19903604849763343,1.8069333106877317,710837513066.9827,177957004936.1115,389516783003.42834,50232428241.865875,7078.658518593014,terbang
fahri,5,341.984,342.98,-1739576.6813219911,2554194.0342714367,6523907164707.797,-0.32551003880270446,-0.743612006506849,6523907164707.797,0.18657953682347822,1.8950574486247094,1286912936449.3103,116064811126.47571,322267521974.6789,39329601770.563095,2817.348827704338,1739576.6813219911,2554194.0342714367,6523907164707.798,0.32551003880270435,-0.7436120065068503,6523907164707.798,0.18657953682347822,1.8950574486247094,1286912936449.31,116064811126.47563,322267521974.6789,39329601770.563095,2817.3488277052493,terbang
fahri,5,342.984,48.976,-78311112.85967663,1574943971.1243947,2.480448512181078e+18,0.5256748862072225,0.7433868040689391,2.480448512181078e+18,0.3507117631718018,1.5886311032430955,3.9026701226338664e+16,1.1235071390672235e+17,7.441651600049808e+16,3.872775800391856e+16,44811999856.18149,78311112.85967666,1574943971.1243947,2.480448512181078e+18,-0.5256748862072227,0.7433868040689395,2.480448512181078e+18,0.3507117631718018,1.5886311032430953,3.9026701226338664e+16,1.1235071390672235e+17,7.441651600049808e+16,3.872775800391857e+16,44811999856.18129,terbang
sultan,1,48.98,49.976,-15412556.435482148,1791689738.2761998,3.2101521182442373e+18,1.1899079328361803,1.4000521325517674,3.2101521182442373e+18,0.3375891919027242,1.264273145573498,1.5412710198954637e+17,2.905723463351056e+17,2.4303694663665117e+17,7.016635319185261e+16,75231050279.8276,15412556.435482055,1791689738.2761998,3.210152118244238e+18,-1.18990793283618,1.4000521325517665,3.210152118244238e+18,0.33758919190272413,1.2642731455734981,1.5412710198954637e+17,2.905723463351056e+17,2.430369466366512e+17,7.016635319185261e+16,75231050279.83011,terbang
sultan,1,49.98,50.976,-19715723.727359984,1477356118.575021,2.1825811010910518e+18,0.26521383241394664,-0.29498557619746757,2.1825811010910518e+18,0.2782452121681936,1.5544666824668738,5.041967278823928e+16,1.7586076948004362e+17,4.325020759100406e+16,3.0548566759191836e+16,43337201445.889145,19715723.72735999,1477356118.575021,2.1825811010910518e+18,-0.2652138324139466,-0.29498557619746757,2.1825811010910518e+18,0.2782452121681936,1.554466682466874,5.041967278823928e+16,1.7586076948004365e+17,4.325020759100407e+16,3.0548566759191836e+16,43337201445.887,terbang
sultan,1,50.98,51.976,13680562.72888153,1573763190.0629191,2.4767305783970156e+18,0.46153937393135325,-0.3349963254049544,2.4767305783970156e+18,0.2654323450675665,1.4431957132600162,1.3052840552323355e+17,1.4452050395323658e+17,2.3328251396226637e+17,5.942921594592237e+16,52046422131.44712,-13680562.72888153,1573763190.0629191,2.4767305783970156e+18,-0.46153937393135314,-0.3349963254049544,2.4767305783970156e+18,0.2654323450675666,1.4431957132600155,1.3052840552323355e+17,1.4452050395323658e+17,2.3328251396226637e+17,5.942921594592237e+16,52046422131.44571,terbang
sultan,1,51.98,52.976,134043645.84583361,2003143860.989133,4.012585327818451e+18,0.570051546608032,0.3163567372460623,4.012585327818451e+18,0.3062499253188619,1.3635779705555762,1.796635497955568e+17,3.871618076597379e+17,4.5608536775640486e+17,1.2021475764723282e+17,29353376174.144844,-134043645.84583358,2003143860.989133,4.012585327818451e+18,-0.5700515466080321,0.3163567372460623,4.012585327818451e+18,0.3062499253188619,1.3635779705555764,1.796635497955568e+17,3.871618076597379e+17,4.560853677564048e+17,1.2021475764723282e+17,29353376174.14611,terbang
sultan,1,52.98,53.976,-19201987.754461564,2313919748.719979,5.354224603516329e+18,0.7191925857329842,0.12049569708725949,5.354224603516329e+18,0.29453424777743453,1.4099215691575169,3.059492025855822e+17,7.453319841085833e+17,3.368194885849935e+17,9.403115910302261e+16,29246918996.860077,19201987.75446161,2313919748.719979,5.354224603516329e+18,-0.7191925857329841,0.1204956970872586,5.354224603516329e+18,0.29453424777743453,1.4099215691575167,3.059492025855823e+17,7.453319841085833e+17,3.368194885849935e+17,9.403115910302261e+16,29246918996.856472,terbang
sultan,1,53.98,54.976,-60201976.5972283,1718666983.4164853,2.953816199885922e+18,0.3670011335620173,-0.67313637875219,2.953816199885922e+18,0.28226303047957624,1.4001594537654807,1.510167967132289e+17,8.4362286216935e+16,2.3415459059299184e+17,3.124626128525129e+16,53772985607.93899,60201976.59722832,1718666983.4164855,2.9538161998859223e+18,-0.36700113356201713,-0.6731363787521909,2.9538161998859223e+18,0.28226303047957624,1.4001594537654805,1.510167967132289e+17,8.4362286216935e+16,2.3415459059299184e+17,3.124626128525129e+16,53772985607.936935,terbang
