subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,label
sultan,3,185.972,186.968,140243209.96765754,1469214158.8581388,2.1585902445892283e+18,0.7507845187395301,0.8012775278970223,2.1585902445892283e+18,0.2873019686760816,1.504996327535106,1.902074136411277e+17,1.4177946605980851e+17,1.3442869246511325e+17,2.5510390532193624e+16,24758452858.936626,-140243209.96765757,1469214158.8581388,2.1585902445892285e+18,-0.7507845187395302,0.8012775278970228,2.1585902445892285e+18,0.2873019686760816,1.504996327535106,1.902074136411277e+17,1.4177946605980851e+17,1.3442869246511325e+17,2.5510390532193624e+16,24758452858.935837,kiri
sultan,3,186.972,252.964,157406572.3047554,1554289956.9417987,2.4158172702501386e+18,0.5306185920945631,-0.4951153946069904,2.4158172702501386e+18,0.35262426470641056,2.4641948049808846,1.0513938209705966e+17,6.870387505267548e+16,1.3259923187044752e+17,5.260137250874842e+16,290202792530.5813,-157406572.30475542,1554289956.9417987,2.4158172702501386e+18,-0.5306185920945631,-0.4951153946069904,2.4158172702501386e+18,0.3526242647064105,2.464194804980885,1.0513938209705968e+17,6.870387505267548e+16,1.3259923187044749e+17,5.260137250874842e+16,290202792530.57776,kiri
sultan,4,252.968,253.964,-122562345.95301494,1549522588.5557263,2.4010202524444385e+18,0.4579179543108991,-0.27109674239722104,2.4010202524444385e+18,0.2947238632814114,1.4024230665260546,2.261981823045603e+17,1.912113524087579e+17,2.5701556201315556e+16,5.302995893030304e+16,32138524727.479965,122562345.95301495,1549522588.5557263,2.4010202524444385e+18,-0.4579179543108991,-0.27109674239722104,2.4010202524444385e+18,0.2947238632814115,1.4024230665260542,2.2619818230456026e+17,1.912113524087579e+17,2.570155620131556e+16,5.302995893030305e+16,32138524727.48329,kiri
sultan,4,253.968,254.964,-102494573.91058862,1472377127.7745867,2.1678944063937418e+18,0.8208636965756135,0.27111633126056756,2.1678944063937418e+18,0.27335403470201997,1.4167786748354902,3.1349529644097636e+16,8.088864682877144e+16,2.1579253502388243e+17,1.928518433631901e+16,37763973070.69176,102494573.91058864,1472377127.7745867,2.1678944063937416e+18,-0.8208636965756139,0.271116331260568,2.1678944063937416e+18,0.27335403470201997,1.4167786748354905,3.1349529644097628e+16,8.088864682877146e+16,2.157925350238824e+17,1.9285184336319004e+16,37763973070.69496,kiri
sultan,4,254.968,255.964,112796759.82113154,1753896005.9549887,3.0761511997048617e+18,0.5833670015449884,0.21972743943294715,3.0761511997048617e+18,0.28949945223892704,1.4625981465911402,1.7657957338489405e+17,1.4670935821106618e+17,3.1228438973600045e+17,3.928437618275869e+16,24083000168.195717,-112796759.8211315,1753896005.9549887,3.0761511997048617e+18,-0.5833670015449884,0.2197274394329467,3.0761511997048617e+18,0.289499452238927,1.4625981465911404,1.76579573384894e+17,1.4670935821106618e+17,3.1228438973600045e+17,3.9284376182758696e+16,24083000168.19686,kiri
sultan,4,255.968,256.964,-102942544.17258331,1640442006.21519,2.691049975755317e+18,0.7725509008919715,0.7390351328579565,2.691049975755317e+18,0.32307110804437666,1.3042473832066697,8.676225168975448e+16,1.5859528514978502e+17,1.5343919825926944e+17,6.6927036382635736e+16,30805517353.707813,102942544.17258328,1640442006.21519,2.691049975755317e+18,-0.7725509008919716,0.7390351328579565,2.691049975755317e+18,0.32307110804437666,1.3042473832066697,8.676225168975446e+16,1.5859528514978502e+17,1.5343919825926944e+17,6.6927036382635736e+16,30805517353.71132,kiri
sultan,4,256.968,257.964,897276.2795104218,1673237986.2042139,2.799725358476733e+18,0.6764699284918537,-0.30097719501587283,2.799725358476733e+18,0.3443099193184732,1.2914893867144355,1.3400502842996306e+17,7.617736188222106e+16,7.1878324749219224e+16,9.386754344574622e+16,29768480791.50408,-897276.2795104218,1673237986.204214,2.7997253584767334e+18,-0.6764699284918536,-0.3009771950158737,2.7997253584767334e+18,0.34430991931847327,1.291489386714435,1.3400502842996304e+17,7.617736188222102e+16,7.187832474921922e+16,9.386754344574622e+16,29768480791.50627,kiri
sultan,4,257.968,258.964,21988033.921578187,1390486617.774969,1.9334530342112727e+18,0.2174575540651091,-0.26358415901265975,1.9334530342112727e+18,0.31514418281232043,1.3354185597412676,1.6934784074829552e+17,7.150619504661483e+16,3.72960139035047e+16,6.7158062750758424e+16,13550940496.762661,-21988033.921578187,1390486617.774969,1.9334530342112727e+18,-0.21745755406510922,-0.2635841590126593,1.9334530342112727e+18,0.31514418281232043,1.3354185597412676,1.6934784074829555e+17,7.150619504661483e+16,3.72960139035047e+16,6.7158062750758424e+16,13550940496.762234,kiri
sultan,4,258.968,324.96,32002831.79728305,1419442906.4777567,2.0148181647500214e+18,0.39631759699694263,-0.801256356773421,2.0148181647500214e+18,0.28520964127746384,2.3848879787796,1.8793246181559245e+17,2.1253299516632736e+16,1.443094886317536e+16,4.72880507409529e+16,183524604608.22516,-32002831.797283035,1419442906.4777567,2.0148181647500214e+18,-0.39631759699694247,-0.801256356773421,2.0148181647500214e+18,0.28520964127746384,2.3848879787795996,1.8793246181559245e+17,2.1253299516632744e+16,1.443094886317536e+16,4.72880507409529e+16,183524604608.22382,kiri
sultan,5,324.964,325.96,-40176791.16628505,1117781752.7319634,1.24943604674054e+18,0.2008906247931247,-0.5599205622613113,1.24943604674054e+18,0.357958828090224,1.2196998912056667,4.174218735564178e+16,5.4485961299057464e+16,2.4511508098569144e+16,3.97349170900697e+16,32886418317.677315,40176791.166285045,1117781752.7319634,1.24943604674054e+18,-0.20089062479312464,-0.5599205622613121,1.24943604674054e+18,0.357958828090224,1.2196998912056667,4.174218735564176e+16,5.4485961299057464e+16,2.451150809856915e+16,3.97349170900697e+16,32886418317.67663,kiri
sultan,5,325.964,326.96,-81272544.18387723,1105494667.1191902,1.222118459028969e+18,0.4654062599344759,-0.17290641209199764,1.222118459028969e+18,0.3450941266694999,1.2512469485885804,2.2812707645455292e+16,3.854754852149401e+16,5.296102425317719e+16,2.4985848322813944e+16,22456460356.354176,81272544.18387723,1105494667.11919,1.2221184590289684e+18,-0.4654062599344762,-0.17290641209199542,1.2221184590289684e+18,0.34509412666949996,1.2512469485885802,2.2812707645455284e+16,3.854754852149402e+16,5.296102425317719e+16,2.4985848322813944e+16,22456460356.355015,kiri
sultan,5,326.964,327.96,74425025.65498403,1418136748.5276532,2.0111118375245844e+18,0.6360480213178151,0.2030678746591028,2.0111118375245844e+18,0.2974500924330894,1.3277234833966085,5.440586940681038e+16,1.1205132043099416e+17,1.868164276251354e+17,5.5204752141663096e+16,27231391832.441723,-74425025.65498406,1418136748.5276535,2.0111118375245847e+18,-0.6360480213178149,0.20306787465910192,2.0111118375245847e+18,0.2974500924330894,1.3277234833966085,5.440586940681037e+16,1.1205132043099416e+17,1.8681642762513542e+17,5.5204752141663096e+16,27231391832.44159,kiri
sultan,5,327.964,328.96,22832766.98169871,1318795582.9184463,1.7392217895252047e+18,0.9489964507752109,0.4295275447598641,1.7392217895252047e+18,0.3420863790957892,1.299891092796816,4.584981331740274e+16,8.773121431200029e+16,5.965286093688535e+16,3.2876867215859916e+16,16402276708.957024,-22832766.981698714,1318795582.9184463,1.7392217895252047e+18,-0.948996450775211,0.4295275447598641,1.7392217895252047e+18,0.3420863790957892,1.299891092796816,4.584981331740274e+16,8.773121431200029e+16,5.965286093688535e+16,3.2876867215859916e+16,16402276708.957848,kiri
sultan,5,328.964,329.96,43645466.101388074,1405036020.1124668,1.9741262178134802e+18,1.049424531790424,1.7799458212798305,1.9741262178134802e+18,0.33084499933209777,1.2924996942599656,1.1739896224435554e+17,4.554525239882109e+16,4.7840151294117384e+16,3.6400075070197896e+16,23870875380.141117,-43645466.10138807,1405036020.1124668,1.9741262178134802e+18,-1.0494245317904238,1.7799458212798296,1.9741262178134802e+18,0.33084499933209777,1.2924996942599656,1.1739896224435552e+17,4.554525239882108e+16,4.784015129411738e+16,3.6400075070197896e+16,23870875380.14051,kiri
sultan,5,329.964,330.96,-170871503.965564,1376684728.8853848,1.8952608427462254e+18,0.6235422822581341,0.025898458694289417,1.8952608427462254e+18,0.34438317855136763,1.1821682560911388,2.0257558825764508e+16,5.721351597902925e+16,1.2750093829411248e+17,6.781643625607997e+16,26842947435.923782,170871503.965564,1376684728.8853848,1.8952608427462254e+18,-0.623542282258134,0.025898458694288973,1.8952608427462254e+18,0.34438317855136763,1.1821682560911388,2.0257558825764508e+16,5.721351597902925e+16,1.2750093829411248e+17,6.7816436256079976e+16,26842947435.923798,kiri
sultan,5,330.964,36.956,106783225.73231708,2212406668.3334374,4.89474326608626e+18,0.19455751752412265,-0.49288370718390917,4.89474326608626e+18,0.3651546806111734,1.5056397524605156,1.0603280469905814e+17,5.9957032278460264e+16,3.161646348678089e+17,1.6108698298333347e+17,582432225379.9448,-106783225.73231706,2212406668.333437,4.894743266086259e+18,-0.19455751752412265,-0.4928837071839083,4.894743266086259e+18,0.36515468061117345,1.5056397524605154,1.0603280469905814e+17,5.9957032278460264e+16,3.1616463486780883e+17,1.6108698298333347e+17,582432225379.9417,kiri
usamah,1,36.96,37.956,-213435362.3884681,1730839929.3309531,2.9958068609663785e+18,-0.007022360519940283,-0.09679022932728953,2.9958068609663785e+18,0.3412441820375793,1.245176738236611,6.841425411442331e+16,1.2425067738832187e+17,1.2762645970139456e+17,5.805335143766634e+16,65742831819.81996,213435362.3884681,1730839929.3309531,2.9958068609663785e+18,0.007022360519940364,-0.09679022932728953,2.9958068609663785e+18,0.3412441820375793,1.245176738236611,6.841425411442331e+16,1.2425067738832187e+17,1.2762645970139453e+17,5.805335143766633e+16,65742831819.817245,kiri
usamah,1,37.96,38.956,183708104.07778254,2420355042.3690553,5.858118531121312e+18,0.9122929277942728,1.2508401935736906,5.858118531121312e+18,0.3193590939104811,1.3731314210602878,1.3464874584345438e+17,5.887695222482953e+17,3.0878014820384083e+17,1.0648340007736427e+17,137304359332.3223,-183708104.07778257,2420355042.3690553,5.858118531121312e+18,-0.912292927794273,1.2508401935736897,5.858118531121312e+18,0.3193590939104811,1.3731314210602876,1.3464874584345437e+17,5.887695222482954e+17,3.0878014820384083e+17,1.0648340007736426e+17,137304359332.31635,kiri
usamah,1,38.96,39.956,121259189.54919654,2161586363.114211,4.672455605201323e+18,0.20114665644353308,-0.37455741287917155,4.672455605201323e+18,0.31709553940893936,1.3538132879673808,2.0327161668299712e+17,2.791045596948461e+17,1.820032966611144e+17,7.74753323908636e+16,43495014652.92633,-121259189.54919653,2161586363.114211,4.672455605201323e+18,-0.2011466564435331,-0.37455741287917155,4.672455605201323e+18,0.31709553940893936,1.3538132879673808,2.0327161668299715e+17,2.791045596948461e+17,1.820032966611144e+17,7.74753323908636e+16,43495014652.93122,kiri
usamah,1,39.96,40.956,-212223402.54517525,1765193498.8748467,3.115908088470023e+18,0.7185692991969341,0.7341028780208854,3.115908088470023e+18,0.31814385235698406,1.271700222602604,1.501333693649049e+17,2.001061309013203e+17,2.3761139481915427e+17,7.078396118979433e+16,55126752620.73796,212223402.54517522,1765193498.8748467,3.1159080884700237e+18,-0.7185692991969339,0.7341028780208845,3.1159080884700237e+18,0.31814385235698406,1.271700222602604,1.501333693649049e+17,2.0010613090132032e+17,2.3761139481915434e+17,7.0783961189794344e+16,55126752620.73848,kiri
