subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_delta_bandpower,EXG0_theta_bandpower,EXG0_alpha_bandpower,EXG0_beta_bandpower,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_delta_bandpower,EXG1_theta_bandpower,EXG1_alpha_bandpower,EXG1_beta_bandpower,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,CCA_15.5Hz,CCA_13.5Hz,CCA_11.5Hz,CCA_9.5Hz,CCA_5.5Hz,CCA_7.5Hz,label
sultan,5,294.984,6.976,383023699.2912667,2490286795.9603596,6.201528326134515e+18,1.1171660162867616,2.2029506149530897,3.714480120340864e+17,7.510906581168357e+17,8.926775721954829e+17,1.964219952043478e+18,6.201528326134515e+18,0.27003634647080055,1.633186408098553,-383023699.29126674,2490286795.9603596,6.201528326134515e+18,-1.1171660162867614,2.2029506149530897,3.7144801203408646e+17,7.510906581168357e+17,8.926775721954829e+17,1.964219952043478e+18,6.201528326134515e+18,0.27003634647080055,1.633186408098553,0.03879019200445116,0.030648912951939902,0.08859216831664016,0.076195804478613,0.09552130029247666,0.0586910899001363,depan
usamah,1,6.98,78.972,-12101346.8186011,2031196396.821072,4.125758802458906e+18,0.6665145972249095,1.0292309660345316,5.909959868416036e+17,3.4276396775627456e+17,1.0701508614987739e+18,1.1367987647196196e+18,4.125758802458906e+18,0.31233182388671055,1.4191871013263444,12101346.8186011,2031196396.821072,4.125758802458906e+18,-0.6665145972249096,1.0292309660345316,5.909959868416036e+17,3.4276396775627456e+17,1.0701508614987738e+18,1.1367987647196196e+18,4.125758802458906e+18,0.31233182388671055,1.4191871013263444,0.05929534025940061,0.09589986236724028,0.06088806314322392,0.1703917894926919,0.07140912572866477,0.10219030514105178,depan
usamah,2,78.976,150.968,-21615469.52769795,1870857025.414035,3.5001060095410514e+18,0.22700652352245118,0.05811303580171101,4.1769556938950106e+17,4.614459707580772e+17,8.65640886730149e+17,1.397293676410118e+18,3.5001060095410514e+18,0.33354586174246637,1.3332748791338709,21615469.527697973,1870857025.414035,3.5001060095410514e+18,-0.22700652352245115,0.05811303580171101,4.17695569389501e+17,4.614459707580772e+17,8.656408867301492e+17,1.3972936764101181e+18,3.5001060095410514e+18,0.33354586174246637,1.3332748791338709,0.10154714214701904,0.13525858396543441,0.09945162492584092,0.14561328243453425,0.14517557176454618,0.0897010844389669,depan
usamah,3,150.972,222.964,5344557.936145652,1986538814.6076734,3.94633646194286e+18,0.31125939984986006,-0.03103708179314779,4.778732764104023e+17,7.621504593670683e+17,6.377629485076865e+17,1.6311428013736668e+18,3.94633646194286e+18,0.32960953505997803,1.3361095715378601,-5344557.936145675,1986538814.6076734,3.94633646194286e+18,-0.31125939984986006,-0.03103708179314779,4.7787327641040237e+17,7.621504593670682e+17,6.377629485076865e+17,1.6311428013736668e+18,3.94633646194286e+18,0.32960953505997803,1.3361095715378601,0.07631261653180665,0.10187311756942474,0.08687767165877291,0.17909742879282473,0.08419363536892481,0.1495568115033105,depan
usamah,4,222.968,294.96,-4260418.748881339,2046574138.443842,4.1884657041471534e+18,0.10893287884722948,0.7359160725009324,6.019293820349436e+17,1.0167348772037665e+18,1.7504822805668782e+18,1.6601713586975864e+18,4.1884657041471534e+18,0.3262483282289425,1.3149111497559252,4260418.748881336,2046574138.443842,4.188465704147154e+18,-0.10893287884722941,0.7359160725009315,6.019293820349436e+17,1.0167348772037667e+18,1.7504822805668782e+18,1.6601713586975862e+18,4.188465704147154e+18,0.3262483282289425,1.3149111497559252,0.0851030810717776,0.0415939130481865,0.09433445981191414,0.09441486853826585,0.0680202273703501,0.09745569253005158,depan
usamah,5,294.964,6.956,-8489771.100894867,1447975747.2305946,2.0966337645679992e+18,-0.6775092078156385,0.8008635395848218,1.958643642293754e+17,4.2716939020614816e+17,5.2487021997858586e+17,1.200342869950375e+18,2.0966337645679992e+18,0.3330470880398648,1.2813310331346146,8489771.10089486,1447975747.2305946,2.0966337645679992e+18,0.6775092078156385,0.8008635395848218,1.958643642293754e+17,4.271693902061482e+17,5.2487021997858586e+17,1.200342869950375e+18,2.0966337645679992e+18,0.3330470880398648,1.2813310331346146,0.04138825445885071,0.19177612852559334,0.08387682510473536,0.0678166236125888,0.22100465447451886,0.10383166834230327,depan
syarif,1,6.96,78.952,-2862272.0166521803,1481000934.711391,2.1933637686160136e+18,-0.5884785282633747,0.38761057049402714,3.1319645750812883e+17,3.222250370460933e+17,6.014684691081089e+17,9.870020156931109e+17,2.1933637686160136e+18,0.31691812040752043,1.3482040274779876,2862272.0166521673,1481000934.711391,2.1933637686160136e+18,0.5884785282633748,0.38761057049402714,3.131964575081289e+17,3.222250370460933e+17,6.014684691081088e+17,9.870020156931109e+17,2.1933637686160136e+18,0.31691812040752043,1.3482040274779878,0.02365289374430312,0.028792858578510206,0.04620878896595875,0.0969472525718366,0.05445759583549486,0.15079606783650157,depan
syarif,2,78.956,150.948,17484672.861716934,1454776765.141912,2.1163754363967657e+18,-1.0746234615430288,1.6762509716090355,3.464998020196225e+17,5.809203763820495e+17,5.336120226114189e+17,7.126890070554559e+17,2.1163754363967657e+18,0.318353670870271,1.4339866723877557,-17484672.861716937,1454776765.141912,2.1163754363967657e+18,1.0746234615430288,1.6762509716090355,3.4649980201962246e+17,5.809203763820495e+17,5.336120226114189e+17,7.126890070554557e+17,2.1163754363967657e+18,0.318353670870271,1.4339866723877557,0.057903199477644496,0.045659018894844375,0.038566215067459914,0.041892832644779714,0.14673773225569936,0.1342530098730733,depan
syarif,3,150.952,222.944,-7511991.451398945,1617855451.2996335,2.617456261299941e+18,-0.6461873898682062,0.6519093992886096,3.219122379934601e+17,3.3471028146795866e+17,4.505545760279886e+17,1.1423777934998144e+18,2.617456261299941e+18,0.33537067629523626,1.5160547741679258,7511991.451398957,1617855451.2996335,2.617456261299941e+18,0.6461873898682062,0.6519093992886096,3.219122379934601e+17,3.3471028146795866e+17,4.505545760279886e+17,1.1423777934998144e+18,2.617456261299941e+18,0.33537067629523626,1.5160547741679258,0.03714272293167091,0.10460721274434699,0.038969481077605006,0.13475991154120553,0.0877606415119929,0.05630586750031295,depan
syarif,4,222.948,294.94,-21602407.742522366,1632944593.7729423,2.66650804633228e+18,-0.4398177267870104,-0.002198626000247117,2.9426389273099616e+17,8.829961612712365e+17,6.985807422201688e+17,1.3322475738642796e+18,2.66650804633228e+18,0.31893277773807766,1.3064713227420601,21602407.74252238,1632944593.7729423,2.66650804633228e+18,0.4398177267870104,-0.002198626000247117,2.9426389273099616e+17,8.829961612712366e+17,6.98580742220169e+17,1.3322475738642796e+18,2.66650804633228e+18,0.31893277773807766,1.3064713227420606,0.07361984496734895,0.06455300525369873,0.07500199289584428,0.11464281722126957,0.1329366403870964,0.09677119141322711,depan
